Ideal Label,Sentence,Base Model Token Value,"Имеет смысл? 0, 0.5, 1",Fine-tuned Model Token Value,"Имеет смысл? 0, 0.5, 1",Лучше?,
возможность,компания изучала [MASK],.,2,рынок,2,idk,
компьютер,[MASK] считал количество пятерками,Я,2,человек,2,idk,
[UNK],[MASK] рассказала об инциденте,Полиция,2,полиция,2,same,
концерт,начался [MASK],.,2,дождь,2,idk,
компания,[MASK] финансировала что - то,ЕР,2,компания,2,idk,
компанией,соглашение планировалось [MASK] для строительства,использовать,2,подписать,2,idk,
[UNK],[MASK] вызвал скорую помощь для раненого человека,Мужчина,2,[UNK],2,same,
человек,[MASK] должен иметь количество,Человек,2,человек,2,idk,
девушке,мужчина сделал [MASK] предложение,женщине,2,девушке,2,idk,
альбом,трек вошел в [MASK],топ,2,список,2,idk,
скелет,женщина наткнулась на [MASK],.,2,[UNK],2,idk,
имя,[MASK] сообщалось,Как,2,[UNK],2,idk,
уровень,власть повысила [MASK],.,2,голос,2,idk,
система,[MASK] включилась,Не,2,система,2,idk,
человек,[MASK] извлек рацию из кармана,Он,2,человек,2,idk,
идеи,люди отказались от [MASK],.,2,идеи,2,idk,
окно,мужчина сбежал из суда через [MASK],окно,2,окно,2,idk,
поиск,спасатель продолжал [MASK],.,2,работу,2,idk,
попытку,страна предприняла [MASK],.,2,действия,2,idk,
воск,[MASK] пристал к одежде,Кот,2,[UNK],2,idk,
драконов,мать избегала [MASK],.,2,[UNK],2,idk,
людям,мужчина стрелял по [MASK],прохожим,2,прохожим,2,idk,
кипятком,человек обдал днище [MASK],.,2,водой,2,idk,
полицию,женщина позвонила в [MASK],полицию,2,полицию,2,idk,
[UNK],[MASK] вошел в состав,Он,2,футболист,2,same,
люди,[MASK] видели друг друга,Мы,2,люди,2,idk,
чайник,хозяин вскипятил [MASK],?,2,чайник,2,idk,
американец,[MASK] распорядился богатством,Он,2,человек,2,idk,
супруги,[MASK] расстались,Мы,2,люди,2,idk,
ребенка,льдина уносила [MASK] в море,его,2,человека,2,idk,
лидеру,президент передал поздравления [MASK],.,2,коллеге,2,idk,
журналисты,[MASK] дополняют информацию,Они,2,данные,2,idk,
имя,читатель знал [MASK],.,2,историю,2,idk,
человек,[MASK] изменился,Мир,2,мир,2,idk,
[UNK],ситуация казалась [MASK] безвыходнои,мне,2,человеку,2,same,
[UNK],россия продает газ [MASK],.,2,[UNK],2,same,
[UNK],пост понравился [MASK],.,2,человеку,2,same,
размещения,изменение потребовалось для [MASK],.,2,выполнения,2,idk,
компанию,арест заставил [MASK] принять решение,судью,2,судью,2,idk,
человек,[MASK] заколдовал женщину,Мужчина,2,[UNK],2,idk,
фашистов,человек стрелял снарядами из установки в [MASK],ответ,2,воздух,2,idk,
[UNK],[MASK] звучал,Не,2,голос,2,same,
страной,задача стояла перед [MASK],ним,2,командой,2,idk,
звук,[MASK] разбудил женщину,Он,2,[UNK],2,idk,
водитель,[MASK] умер,Он,2,человек,2,idk,
глаза,[MASK] выражали гнев,Они,2,глаза,2,idk,
луч,[MASK] падал на зеркало,Он,2,свет,2,idk,
нападающий,[MASK] забил два гола,ЦСКА,2,нападающий,2,idk,
переход,[MASK] вызывал рост,Он,2,спрос,2,idk,
порядок,спецслужба охраняла [MASK],?,2,территорию,2,idk,
результат,тест дал [MASK],?,2,результат,2,idk,
клиентам,компания предложила [MASK] контракт,заключить,2,россии,2,idk,
берега,человек наблюдал с [MASK] за сыном,балкона,2,трибуны,2,idk,
[UNK],министерство предложило [MASK] план,антикризисный,2,[UNK],2,same,
подозреваемого,суд арестовал [MASK] по одному делу,еще,2,фигуранта,2,idk,
восторга,военныи взревел от [MASK],возмущения,2,восторга,2,idk,
[UNK],военныи открыл дверь [MASK],.,2,человеку,2,same,
корабль,[MASK] прошел проверку перед отправкои,Он,2,самолет,2,idk,
амплуа,манера подходила для [MASK],.,2,человека,2,idk,
вперед,бабушка прошла [MASK],.,2,обследование,2,idk,
финале,мужчина играет в [MASK],шахматы,2,игру,2,idk,
[UNK],женщина давала жизнь [MASK],.,2,ребенку,2,same,
все,у старика [MASK] было плохо,все,2,[UNK],2,idk,
крупнейшим,пожар стал по числу [MASK],.,2,крупнейшим,2,idk,
крыша,[MASK] обрушилась на площадь из - за пожара,Крыша,2,крыша,2,idk,
наступление,корабль начал [MASK],.,2,снижение,2,idk,
работу,ведомство завершило [MASK],.,2,работу,2,idk,
цены,[MASK] вызвали протесты в стране,Чем,2,действия,2,idk,
голоден,человек был [MASK],.,2,[UNK],2,idk,
[UNK],катя сомневалась в [MASK],этом,2,[UNK],2,same,
руб,авиакомпания получила [MASK] за год,прибыль,2,прибыль,2,idk,
кризиса,[MASK] не было,Денег,2,[UNK],2,idk,
правилам,гражданин следовал [MASK],.,2,правилу,2,idk,
выстрел,[MASK] гремел,Зал,2,гром,2,idk,
отношения,[MASK] испортились из - за конфликта,Отношения,2,отношения,2,idk,
человека,[MASK] ранило,Меня,2,человека,2,idk,
жена,[MASK] стояла,Не,2,машина,2,idk,
[UNK],человек позвонил [MASK],.,2,другу,2,same,
преимуществом,владелец обладал [MASK],.,2,правом,2,idk,
дому,машина подъехала к [MASK],нам,2,дому,2,idk,
товарищ,[MASK] умер,Он,2,человек,2,idk,
хорошая,погода была [MASK],.,2,хорошей,2,idk,
матч,[MASK] шел,Я,2,дождь,2,idk,
видео,[MASK] начиналось с момента,Все,2,знакомство,2,idk,
цена,[MASK] была маленькои,Я,2,боль,2,idk,
поток,[MASK] предотвратил поступок,И,2,человек,2,idk,
погода,в москве была плохая [MASK],.,2,погода,2,idk,
сообщения,человек узнал информацию из [MASK],интернета,2,источника,2,idk,
людей,ввс убивали [MASK] на территории,людей,2,людей,2,idk,
наказание,[MASK] грозило мужчине из - за гибели,Что,2,наказание,2,idk,
звук,[MASK] менялся,Он,2,состав,2,idk,
[UNK],миша с [MASK] в замешательстве переглянулись,девочкой,2,девочкой,2,same,
человек,[MASK] говорил с напряжением,Он,2,человек,2,idk,
головой,муж бил в живот [MASK],.,2,женщину,2,idk,
преступник,[MASK] ограбил прохожего,Мужчина,2,преступник,2,idk,
клиентом,глава извинился перед [MASK] за ошибку,подчиненными,2,[UNK],2,idk,
люди,[MASK] считали машину надежнои,Мы,2,люди,2,idk,
возможность,студент использовал [MASK],.,2,метод,2,idk,
человек,[MASK] нарисовал линию,Художник,2,художник,2,idk,
стороны,деиствие последовало со [MASK],стороны,2,стороны,2,idk,
режиссер,[MASK] снял картину,Он,2,режиссер,2,idk,
врагом,кто - то сражался с [MASK],огнем,2,врагом,2,idk,
угрозе,сенатор узнал об [MASK],этом,2,информации,2,idk,
эксперт,[MASK] подчеркнул концентрацию,Он,2,эксперт,2,idk,
заболеванием,человек страдал [MASK],.,2,заболеванием,2,idk,
сбой,[MASK] случился из - за обновления,Скандал,2,сбой,2,idk,
ракета,[MASK] выключила двигатель,и,2,[UNK],2,idk,
человек,[MASK] не может купить товары в магазине,Никто,2,человек,2,idk,
[UNK],компания просила [MASK] у агентства,помощи,2,комментарий,2,same,
[UNK],полиция нашла [MASK],.,2,преступника,2,same,
назад,археолог отшатнулся от стола [MASK],.,2,ногой,2,idk,
фильм,[MASK] был крутым,Он,2,человек,2,idk,
[UNK],[MASK] зашумело,И,2,море,2,same,
реакция,[MASK] заставила человека сделать что - то,Она,2,любовь,2,idk,
паника,[MASK] охватила макарова,Тоска,2,паника,2,idk,
аварию,водитель попал в [MASK],аварию,2,аварию,2,idk,
холодно,стало [MASK],.,2,тепло,2,idk,
человек,[MASK] засыпал,Я,2,человек,2,idk,
маленьким,пятно было [MASK],.,2,большим,2,idk,
женщина,[MASK] заболела,Я,2,женщина,2,idk,
условие,соглашение содержало [MASK] о поставке оборудования,пункты,2,пункт,2,idk,
задачей,мужчина думал над [MASK],собой,2,проблемой,2,idk,
пиво,алиса выпила все [MASK],.,2,лекарство,2,idk,
женщина,[MASK] давала жизнь растению,Она,2,влага,2,idk,
солдат,[MASK] стрелял во врага,Он,2,человек,2,idk,
систему,люди используют [MASK] для защиты,их,2,систему,2,idk,
двигатель,водитель завел [MASK],.,2,машину,2,idk,
опасным,националист был [MASK],.,2,[UNK],2,idk,
россиянка,[MASK] стала по итогам лучшеи,И,2,команда,2,idk,
люди,[MASK] пострадали,Не,2,люди,2,idk,
оценка,в результате [MASK] изменилась,ситуация,2,ситуация,2,idk,
человек,[MASK] брызгал слюнои,Он,2,человек,2,idk,
магазин,человек пошел в [MASK] за товаром,магазин,2,магазин,2,idk,
народ,[MASK] сделал что - то из - за деиствии власти,Жириновский,2,человек,2,idk,
животное,охотник ранил [MASK],.,2,животное,2,idk,
покушение,полиция арестовала мужчину за [MASK] на убииство,нападение,2,покушение,2,idk,
человек,[MASK] разделся,Я,2,человек,2,idk,
чудо,[MASK] подарило людям надежду,Правительство,2,правительство,2,idk,
крыло,посетители пришли в [MASK],восторг,2,зал,2,idk,
экзамен,валя пришла на [MASK],помощь,2,помощь,2,idk,
компания,[MASK] вложила деньги в продукт,Компания,2,компания,2,idk,
бутылку,кто - то создавал [MASK],?,2,[UNK],2,idk,
операцию,врач провел [MASK] женщине,операцию,2,операцию,2,idk,
одежду,человек снял [MASK] с вешалки,шляпу,2,пальто,2,idk,
человеку,[MASK] пришла в голову мысль,Мне,2,человеку,2,idk,
метра,высота была меньше [MASK],.,2,метра,2,idk,
источнике,пресс - служба сообщила об [MASK] журналистам со ссылкои,этом,2,инциденте,2,idk,
курс,[MASK] составлял рубль,Курс,2,курс,2,idk,
человек,[MASK] испытывал чувство,Я,2,человек,2,idk,
удовольствием,человек слушал музыку с [MASK],удовольствием,2,удовольствием,2,idk,
родителям,девушка объявила о желании [MASK],.,2,[UNK],2,idk,
подрядчик,у правды был [MASK],?,2,шанс,2,idk,
гражданину,мужчина нанес ранение [MASK],.,2,человеку,2,idk,
женщины,[MASK] попадали в историю,Они,2,люди,2,idk,
операторы,[MASK] не видели лодку на радаре,Мы,2,люди,2,idk,
голосе,напряжение чувствовалось в [MASK],воздухе,2,воздухе,2,idk,
случай,[MASK] принес компании прибыль,Он,2,запуск,2,idk,
супруг,[MASK] изменил партнеру,Я,2,человек,2,idk,
[UNK],[MASK] упали на пол,Они,2,капли,2,same,
суд,[MASK] разрешил прокурору перенос,Суд,2,суд,2,idk,
вариантом,кто - то соглашался с [MASK],.,2,предложением,2,idk,
компания,[MASK] не обжаловала вердикт,Прокуратура,2,сторона,2,idk,
ребята,[MASK] подбежали к двери,Они,2,люди,2,idk,
дверь,солдат вошел в другую [MASK],.,2,дверь,2,idk,
улыбке,рожа расплылась в [MASK],улыбке,2,улыбке,2,idk,
задачей,командир справился с [MASK],задачей,2,задачей,2,idk,
человек,[MASK] одобряет писателя,Автор,2,человек,2,idk,
обсуждения,владимир планировал встречу для [MASK],Путина,2,лидера,2,idk,
продление,парламентарии выступил за [MASK],.,2,отмену,2,idk,
[UNK],[MASK] оскорбил человека,Жириновский,2,[UNK],2,same,
фильм,режиссер снял [MASK],.,2,фильм,2,idk,
существование,[MASK] было правильным,Это,2,решение,2,idk,
ключом,человек открыл [MASK] дверь,входную,2,[UNK],2,idk,
[UNK],пожар случился у соседа из - за [MASK],газа,2,[UNK],2,same,
цены,[MASK] превысила уровень,Вода,2,цена,2,idk,
ученый,[MASK] с коллегои написал статью,Вместе,2,ученый,2,idk,
сыну,кто - то оставил все наследство [MASK],.,2,человеку,2,idk,
врач,[MASK] наложил шов пострадавшему,Врач,2,врач,2,idk,
указ,президент выпустил [MASK],.,2,указ,2,idk,
вопрос,участник отвечал организатору на [MASK],вопросы,2,вопросы,2,idk,
список,издание составило [MASK],.,2,рейтинг,2,idk,
вода,[MASK] выливалась из котелка на пол,Вода,2,вода,2,idk,
зуб,[MASK] был заметным,Он,2,рост,2,idk,
очевидца,спасатели сняли [MASK] с аттракциона из - за аварии,людей,2,человека,2,idk,
голосе,близость угадывалась в [MASK],деталях,2,голосе,2,idk,
россия,[MASK] рассталась с кем - то,Она,2,девушка,2,idk,
человек,[MASK] уходил из жизни,Он,2,человек,2,idk,
преступник,[MASK] находился в квартире,Он,2,мужчина,2,idk,
деталь,человек заменил [MASK] в устроистве,его,2,[UNK],2,idk,
женщина,[MASK] перевела взгляд на собеседника,Она,2,девушка,2,idk,
государство,[MASK] защищало ребенка от гомосексуализма,Государство,2,государство,2,idk,
перехвата,истребитель поднимался с авиабазы в воздух для [MASK],дозаправки,2,перехвата,2,idk,
тексте,вывод содержался в [MASK],.,2,документе,2,idk,
[UNK],[MASK] писал о ситуации,Я,2,[UNK],2,same,
человек,[MASK] протестовал против реформы,Народ,2,[UNK],2,idk,
врагов,человек прятался от [MASK],полиции,2,[UNK],2,idk,
единицы,погрешность была хуже [MASK] для выборки,допустимой,2,единицы,2,idk,
слезы,[MASK] полились из глаз ручьем,Слезы,2,слезы,2,idk,
человек,[MASK] голодал,Не,2,человек,2,idk,
дальше,анна пошла [MASK],.,2,вперед,2,idk,
перерыва,пара занималась сексом без [MASK],свидетелей,2,перерыва,2,idk,
словам,люди следуют [MASK],.,2,правилу,2,idk,
[UNK],компания построила [MASK],.,2,завод,2,same,
люди,[MASK] не слышат голоса в эфире,Они,2,люди,2,idk,
человек,[MASK] приходил из газеты на тренировку без денег с намерением,.,2,человек,2,idk,
человек,[MASK] ушиб ногу,Он,2,человек,2,idk,
суд,[MASK] вынес постановление за отказ,Суд,2,суд,2,idk,
человек,[MASK] использовал своиства воды для чего - то,Он,2,человек,2,idk,
война,[MASK] для сапера кончилась победои,Война,2,война,2,idk,
мужчина,[MASK] договорился о встрече с фирмои,Жириновский,2,человек,2,idk,
пассажир,[MASK] прилетел в грозныи,Он,2,самолет,2,idk,
новости,автомобилист не ожидал [MASK],.,2,столкновения,2,idk,
суд,сторона просила [MASK] сделать что - то,его,2,россию,2,idk,
руб,цена поднималась на [MASK],нефть,2,доллар,2,idk,
[UNK],тренер руководит [MASK],.,2,командой,2,same,
нападающий,[MASK] забил гол в матче,Роналду,2,нападающий,2,idk,
животное,[MASK] прилагало усилия,Государство,2,правительство,2,idk,
выход,крыса искала [MASK],.,2,выход,2,idk,
[UNK],[MASK] отравил человека,Жириновский,2,[UNK],2,same,
лидеру,бог помог [MASK] в жизни,ему,2,человеку,2,idk,
авиабазу,боевик обстреливал [MASK],?,2,территорию,2,idk,
психолога,жена представляла [MASK] монстром,его,2,мужа,2,idk,
человек,[MASK] пошел на свидание,Я,2,человек,2,idk,
зеркало,луч падал на [MASK],землю,2,землю,2,idk,
стрельба,[MASK] велась из гостиницы по прохожим очередью,Стрельба,2,стрельба,2,idk,
человеку,[MASK] никто не сказал о соревновании,Мне,2,[UNK],2,idk,
боль,у пациента появилась [MASK],.,2,сыпь,2,idk,
здоровой,кожа стала [MASK],.,2,гладкой,2,idk,
воровстве,люди узнали о [MASK] мальчика,смерти,2,болезни,2,idk,
тысячи,[MASK] столкнулись с проблемами,Мы,2,люди,2,idk,
разрешение,самолет получил [MASK],.,2,повреждения,2,idk,
читатели,[MASK] увидели гифку,Все,2,люди,2,idk,
человек,[MASK] высунул голову из - за куста,Жириновский,2,человек,2,idk,
высоты,мужчина упал с [MASK] на рельсы,высоты,2,высоты,2,idk,
усилием,дед доставал с [MASK] репку из земли,трудом,2,земли,2,idk,
отношение,[MASK] поменялось,Все,2,отношение,2,idk,
карман,рука скользнула в [MASK],кадр,2,карман,2,idk,
тюрьме,вор сидит в [MASK],тюрьме,2,тюрьме,2,idk,
вперед,беглец побрел [MASK],.,2,вперед,2,idk,
остаток,[MASK] не уменьшился,Объем,2,объем,2,idk,
человек,[MASK] уснул,И,2,человек,2,idk,
дырка,в банке образовалась [MASK],.,2,дыра,2,idk,
супругов,у [MASK] не было сына,него,2,женщины,2,idk,
батальон,[MASK] находится на высоте,Он,2,самолет,2,idk,
душа,[MASK] была против чего - то,Я,2,[UNK],2,idk,
человек,[MASK] устал,Я,2,человек,2,idk,
команда,[MASK] появилась на полуострове,Она,2,армия,2,idk,
партнеру,супруг изменил [MASK],.,2,жене,2,idk,
президент,[MASK] принял отставку,Путин,2,президент,2,idk,
проблемами,тысячи столкнулись с [MASK],проблемами,2,проблемой,2,idk,
[UNK],цель отличалась от других приоритетов своеи [MASK],.,2,сложностью,2,same,
ученый,[MASK] исследовал образец,Я,2,ученый,2,idk,
подготовкой,сборная занималась [MASK],.,2,подготовкой,2,idk,
[UNK],женщина сказала [MASK] ярославу,спасибо,2,[UNK],2,same,
автомобиль,[MASK] сбил женщину,Он,2,водитель,2,idk,
переносе,прокурор заявил суду ходатаиство о [MASK],преступлении,2,преступлении,2,idk,
плохо,человеку было [MASK],.,2,плохо,2,idk,
лидер,[MASK] не может выезжать без согласия,Никто,2,человек,2,idk,
[UNK],даша общалась с [MASK],Жириновским,2,человеком,2,same,
нравом,полина отличалась от большинства [MASK],.,2,[UNK],2,idk,
заседании,вопрос поднимался на [MASK],совещании,2,заседании,2,idk,
[UNK],судно не делало [MASK],.,2,[UNK],2,same,
артиллерия,[MASK] открыла огонь,Полиция,2,артиллерия,2,idk,
документ,[MASK] ничего не представлял,Никто,2,человек,2,idk,
образом,ситуация отличалась существенным [MASK],.,2,фактором,2,idk,
страстью,человек что - то делал со [MASK],мной,2,[UNK],2,idk,
спортсмена,[MASK] наградили,Его,2,сборную,2,idk,
размер,человек увидел [MASK] объекта,два,2,часть,2,idk,
человек,[MASK] обладал возможностью сделать что - то,Он,2,человек,2,idk,
школьник,[MASK] изучал школьные предметы,Я,2,человек,2,idk,
друг,[MASK] испугался,Я,2,человек,2,idk,
история,[MASK] закончилась,Игра,2,история,2,idk,
атом,[MASK] был единым,Он,2,мир,2,idk,
автомобиль,механик починил [MASK],.,2,[UNK],2,idk,
президент,[MASK] выступил автором,Автор,2,[UNK],2,idk,
тело,полицеискии передал [MASK] на экспертизу,его,2,оружие,2,idk,
отчаяние,[MASK] охватило человека,Горе,2,волнение,2,idk,
решение,судья огласила [MASK],.,2,приговор,2,idk,
день,лидер отмечал [MASK],.,2,рост,2,idk,
человек,[MASK] работал для урегулирования,Он,2,человек,2,idk,
правительство,[MASK] потратило миллион на рекламу,Метро,2,правительство,2,idk,
мужчина,[MASK] вернул телефон ребенку,Отец,2,мужчина,2,idk,
приемлемым,вариант казался гоше [MASK],.,2,приемлемым,2,idk,
лидера,парламент проголосовал за [MASK],.,2,законопроект,2,idk,
мужем,вероника познакомилась с [MASK] в англии,русскими,2,человеком,2,idk,
волос,[MASK] лежал на полу,Он,2,труп,2,idk,
огонь,[MASK] продолжил разгораться,Конфликт,2,пожар,2,idk,
[UNK],[MASK] предстоял матч,Сегодня,2,командам,2,same,
месте,площадка располагалась на этом [MASK],месте,2,месте,2,idk,
торговли,компания попала в список из - за [MASK],санкций,2,санкций,2,idk,
проблемы,прибор стал решением [MASK],.,2,проблемы,2,idk,
человек,[MASK] отреагировал возмущением на высказывание,Жириновский,2,[UNK],2,idk,
способом,мошенники обманывали людеи таким [MASK],образом,2,способом,2,idk,
очередь,[MASK] дошла до человека,Очередь,2,очередь,2,idk,
работу,человек начал [MASK],.,2,[UNK],2,idk,
человека,[MASK] ранили в живот,Его,2,человека,2,idk,
реакция,[MASK] удивила человека,Я,2,ситуация,2,idk,
суд,[MASK] оставил решение в силе,Суд,2,суд,2,idk,
должности,господин работает на [MASK],дядю,2,[UNK],2,idk,
номере,полицеискии находился в [MASK],Москве,2,здании,2,idk,
самолет,[MASK] приземлился раньше,Самолет,2,самолет,2,idk,
человек,[MASK] поправился,Я,2,человек,2,idk,
никто,[MASK] ничего не знает о человеке,Никто,2,никто,2,idk,
крах,[MASK] ждал экономику,Я,2,рост,2,idk,
[UNK],[MASK] плюнул на пол,Он,2,человек,2,same,
улице,человек гулял по [MASK],парку,2,улице,2,idk,
эксперт,[MASK] отмечал концентрацию,Он,2,человек,2,idk,
компания,[MASK] выбрала путь,Она,2,страна,2,idk,
созданием,группа работала над [MASK] с командои,проектом,2,проектом,2,idk,
сборная,[MASK] выиграла игру,Она,2,сборная,2,idk,
преступника,полиция не нашла [MASK],.,2,преступника,2,idk,
чувства,причина вызывала у человека [MASK],.,2,удивление,2,idk,
девушке,зрение вернулось к [MASK],вам,2,человеку,2,idk,
вопрос,[MASK] волновал читателя,Он,2,вопрос,2,idk,
человек,[MASK] взлетел вверх,Рубль,2,самолет,2,idk,
ребенку,родитель отдал квартиру [MASK],.,2,ребенку,2,idk,
продажи,компании осуществляют [MASK],.,2,поставки,2,idk,
глупым,народ был [MASK],.,2,счастлив,2,idk,
[UNK],[MASK] привлек новых клиентов,Банк,2,банк,2,same,
чудо,[MASK] происходило с больным,Что,2,[UNK],2,idk,
человек,[MASK] прекратил еду,Я,2,человек,2,idk,
осужденного,у [MASK] имелась вероятность чего - то,меня,2,человека,2,idk,
[UNK],почта передавала приказ от властеи в [MASK],полицию,2,[UNK],2,same,
[UNK],правительство внесло законопроект в госдуму с [MASK],КПРФ,2,поддержкой,2,same,
шепотом,человек говорил с президентом о чем - то [MASK],?,2,шепотом,2,idk,
оппозиция,[MASK] противостояла власти,Оппозиция,2,оппозиция,2,idk,
компания,[MASK] подала иск в суд,Компания,2,компания,2,idk,
коллекцией,люди восхищались [MASK],.,2,красотой,2,idk,
авиакомпания,[MASK] летала из москвы в шереметьево по маршруту транзитом,я,2,делегация,2,idk,
позиции,переговоры провалились из - за [MASK],Украины,2,санкций,2,idk,
текст,человек произносит [MASK],.,2,слова,2,idk,
эксперт,[MASK] объяснял желание ростом,Он,2,человек,2,idk,
летом,весна сменилась [MASK],.,2,осенью,2,idk,
система,[MASK] рассчитывала массу,Она,2,система,2,idk,